hashtag,trend,201512,201601,201602,201603,201604,201605,20160601,20160623,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,re201512,re201601,re201602,re201603,re201604,re201605,re20160601,re20160623,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812
#maymustgo,0.852238292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1,4,2,6,3,1,5,7,107,13,3,8,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,25,0,96,594,86,557,252,6,778,369,8561,1485,130,1080,2352,2459
#euwithdrawalbill,0.353416183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,24,37,22,3,4,18,18,88,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2984,95,4845,4617,3154,465,285,3270,2164,11824,184,36,19,0,0,0
#dup,0.587640418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,27,7,3,1,3,4,38,0,3,3,2,4,4,3,1,4,17,12,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,100,15,30,33,2256,391,352,17,194,388,3389,0,70,223,243,247,279,492,32,776,3654,346,129
#chequers,0.760854927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,71,25,47,25,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,8075,3914,5264,2082,127,2125
#brexitshambles,0.213914555,0,0,0,0,0,0,0,0,0,0,0,6,23,22,33,19,23,18,14,25,27,27,36,17,39,49,44,36,35,20,30,32,95,43,47,43,75,101,0,0,0,0,0,0,0,0,0,0,0,899,1288,1917,2058,1670,4821,837,1689,14706,1609,2449,3626,2141,3184,5254,4995,3341,9557,2387,3396,2742,13443,5183,4045,5170,10151,13068
#brexitbill,0.640713746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,25,1,0,0,1,1,3,0,2,4,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,4937,3174,42,0,0,4,186,42,0,117,330,0,0,0,0,0,1107,0,0,0,12,593,0
#article50,0.808623873,0,0,0,0,0,0,0,24,43,19,11,20,138,40,116,71,370,34,11,9,6,2,3,6,21,6,8,4,8,3,2,3,5,4,8,9,25,47,0,0,0,0,0,0,0,842,1161,547,367,702,17699,3184,9788,8419,38359,3391,2058,1160,289,173,177,859,2602,334,1529,724,304,463,61,420,1103,352,1100,460,7352,6307
 #trump,0.7529707,0,0,1,1,7,9,22,145,44,22,10,34,382,55,141,99,49,37,25,26,18,14,20,23,25,23,21,9,22,20,14,11,67,15,16,18,26,24,0,0,93,41,274,382,716,5278,968,1375,223,1581,19054,3004,8226,5716,2668,2878,1328,760,446,626,1608,984,983,4391,2904,586,5267,2822,1129,2719,8699,3307,1978,4504,1823,1496
 #theresamay,0.709766876,0,0,0,0,1,0,0,2,84,5,10,31,25,23,93,18,56,38,52,47,12,6,25,20,6,28,16,14,38,17,19,22,79,21,29,42,115,179,0,0,0,0,32,0,0,43,3979,133,288,2382,2979,1990,6481,1031,6685,2232,4172,3024,663,373,2178,2000,593,2287,2719,1269,3680,2381,2347,2833,7452,2064,5430,4693,11575,12051
 #projectfear,0.688541201,0,0,13,12,10,24,13,7,12,6,6,3,4,2,6,0,3,3,2,1,1,1,3,2,4,0,3,5,3,2,2,4,19,17,3,10,11,6,0,0,921,386,383,913,1454,137,764,248,539,102,272,211,177,0,174,68,431,31,4,0,100,23,247,0,393,1702,157,185,382,302,2488,1056,447,1093,707,149
